epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,17114.4,0.47437,0.34286,0.90872,0.90676,0.91637,0.92598,0.78529,0.58966,0.40567,0.90487,0.00026422,0.00026422,0.00026422
87,17258.8,0.46363,0.33208,0.89218,0.91515,0.92237,0.92319,0.7874,0.58979,0.40468,0.90539,0.000247716,0.000247716,0.000247716
88,17402.8,0.48435,0.3448,0.91201,0.88034,0.92606,0.91263,0.77361,0.58873,0.41087,0.90561,0.000231213,0.000231213,0.000231213
89,17546.9,0.48873,0.34667,0.91095,0.86376,0.93467,0.91674,0.77634,0.5916,0.41277,0.90674,0.00021471,0.00021471,0.00021471
90,17691.3,0.48342,0.34569,0.9056,0.89122,0.92619,0.91909,0.77828,0.58801,0.40903,0.90544,0.000198206,0.000198206,0.000198206
91,17834.4,0.42038,0.28676,0.84725,0.87195,0.92675,0.91655,0.76811,0.59625,0.42163,0.9034,0.000181703,0.000181703,0.000181703
92,17977,0.40165,0.2687,0.8429,0.88203,0.91439,0.90974,0.7716,0.59233,0.43194,0.90205,0.0001652,0.0001652,0.0001652
93,18119.7,0.40075,0.27403,0.84816,0.88249,0.91658,0.91307,0.77692,0.59069,0.42296,0.9026,0.000148696,0.000148696,0.000148696
94,18262.7,0.40006,0.26276,0.84178,0.88476,0.92473,0.91653,0.78059,0.57985,0.40096,0.89849,0.000132193,0.000132193,0.000132193
95,18405.3,0.39344,0.2627,0.84202,0.88822,0.91157,0.91748,0.77804,0.58722,0.40535,0.90176,0.00011569,0.00011569,0.00011569
96,18548,0.39005,0.25691,0.83962,0.90326,0.9031,0.91893,0.78085,0.58201,0.40569,0.90115,9.91865e-05,9.91865e-05,9.91865e-05
97,18690.9,0.39364,0.26037,0.83892,0.89863,0.91744,0.92002,0.78045,0.58667,0.40114,0.90134,8.26832e-05,8.26832e-05,8.26832e-05
98,18833.6,0.38166,0.2504,0.83457,0.90349,0.91372,0.91833,0.78028,0.5777,0.40002,0.89797,6.61799e-05,6.61799e-05,6.61799e-05
99,18976.4,0.38435,0.25205,0.83883,0.90444,0.92319,0.91732,0.7784,0.58558,0.39898,0.90338,4.96766e-05,4.96766e-05,4.96766e-05
100,19119.4,0.38287,0.25114,0.83649,0.90482,0.92391,0.91724,0.77869,0.5847,0.39998,0.90483,3.31733e-05,3.31733e-05,3.31733e-05
