epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,22007.8,0.88924,0.63596,0.95703,0.77519,0.54545,0.56242,0.31356,1.6971,1.09637,1.09216,0.000169908,0.000169908,0.000169908
91,22241.9,0.85317,0.53803,0.92723,0.68339,0.52273,0.53312,0.29064,1.79065,1.06645,1.14067,0.000155761,0.000155761,0.000155761
92,22476.7,0.83057,0.53377,0.91847,0.51743,0.53552,0.53225,0.29527,1.75721,1.10739,1.13476,0.000141614,0.000141614,0.000141614
93,22710.9,0.81593,0.51561,0.91766,0.56396,0.56818,0.54039,0.29884,1.74514,1.11727,1.11445,0.000127467,0.000127467,0.000127467
94,22945.2,0.81526,0.51864,0.91663,0.56793,0.54545,0.54319,0.29975,1.75822,1.03139,1.10559,0.00011332,0.00011332,0.00011332
95,23180.1,0.80956,0.51258,0.91388,0.55044,0.56818,0.54494,0.29875,1.74747,1.07756,1.10376,9.91726e-05,9.91726e-05,9.91726e-05
96,23414.2,0.80878,0.50519,0.9133,0.56015,0.54545,0.54209,0.2989,1.74864,1.04616,1.10404,8.50255e-05,8.50255e-05,8.50255e-05
97,23656.2,0.79636,0.49227,0.90866,0.57758,0.54545,0.54001,0.30585,1.70981,1.00964,1.07874,7.08784e-05,7.08784e-05,7.08784e-05
98,23898.2,0.79197,0.48692,0.90466,0.62252,0.54545,0.54522,0.31283,1.70523,1.02191,1.08194,5.67313e-05,5.67313e-05,5.67313e-05
99,24142,0.78489,0.48404,0.90677,0.63926,0.54545,0.54364,0.30415,1.70827,1.03878,1.0873,4.25842e-05,4.25842e-05,4.25842e-05
100,24385.9,0.79684,0.49743,0.89913,0.63139,0.54545,0.54234,0.3069,1.71889,1.03861,1.09117,2.84371e-05,2.84371e-05,2.84371e-05
